meal_name,meal_type,cuisine,diet,goal,mood,features
Chicken Biryani,Lunch,Hyderabadi,Non Vegetarian,Weight Gain,Party,"lunch hyderabadi non_vegetarian weight_gain party"
Mutton Biryani,Lunch,Hyderabadi,Non Vegetarian,Weight Gain,Spicy,"lunch hyderabadi non_vegetarian weight_gain spicy"

Osmania Biscuit,Evening Snacks,Hyderabadi,Vegetarian,Balanced,Comfort Food,"snacks hyderabadi vegetarian balanced comfort"
Mirchi Bajji,Evening Snacks,Hyderabadi,Vegetarian,Balanced,Spicy,"snacks hyderabadi vegetarian balanced spicy"
Samosa,Evening Snacks,Hyderabadi,Vegetarian,Weight Gain,Comfort Food,"snacks hyderabadi vegetarian weight_gain comfort"
Veg Cutlet,Evening Snacks,Hyderabadi,Vegetarian,Balanced,Energetic,"snacks hyderabadi vegetarian balanced energetic"
Chicken Puff,Evening Snacks,Hyderabadi,Non Vegetarian,High Protein,Party,"snacks hyderabadi non_vegetarian high_protein party"
Chicken Roll,Evening Snacks,Hyderabadi,Non Vegetarian,Balanced,Spicy,"snacks hyderabadi non_vegetarian balanced spicy"
Egg Puff,Evening Snacks,Hyderabadi,Non Vegetarian,High Protein,Energetic,"snacks hyderabadi non_vegetarian high_protein energetic"

Veg Biryani,Dinner,Hyderabadi,Vegetarian,Balanced,Party,"dinner hyderabadi vegetarian balanced party"
Bagara Baingan,Dinner,Hyderabadi,Vegetarian,Balanced,Spicy,"dinner hyderabadi vegetarian balanced spicy"
Mirchi Ka Salan,Dinner,Hyderabadi,Vegetarian,Balanced,Spicy,"dinner hyderabadi vegetarian balanced spicy"
Veg Haleem,Dinner,Hyderabadi,Vegetarian,High Protein,Comfort Food,"dinner hyderabadi vegetarian high_protein comfort"
Double Ka Meetha Combo,Dinner,Hyderabadi,Vegetarian,Weight Gain,Festive,"dinner hyderabadi vegetarian weight_gain festive"
Chicken Biryani,Dinner,Hyderabadi,Non Vegetarian,Weight Gain,Party,"dinner hyderabadi non_vegetarian weight_gain party"
Mutton Biryani,Dinner,Hyderabadi,Non Vegetarian,Weight Gain,Spicy,"dinner hyderabadi non_vegetarian weight_gain spicy"

Dal Baati Mini,Breakfast,Rajasthani,Vegetarian,Balanced,Festive,"breakfast rajasthani vegetarian balanced festive"
Methi Bajra Roti,Breakfast,Rajasthani,Vegetarian,Healthy,Healthy,"breakfast rajasthani vegetarian healthy healthy"
Moong Dal Chilla,Breakfast,Rajasthani,Vegetarian,High Protein,Energetic,"breakfast rajasthani vegetarian high_protein energetic"
Pyaz Kachori,Breakfast,Rajasthani,Vegetarian,Weight Gain,Comfort Food,"breakfast rajasthani vegetarian weight_gain comfort"
Mirchi Vada,Breakfast,Rajasthani,Vegetarian,Balanced,Spicy,"breakfast rajasthani vegetarian balanced spicy"
Besan Chilla,Breakfast,Rajasthani,Vegetarian,High Protein,Healthy,"breakfast rajasthani vegetarian high_protein healthy"
Rabdi Combo,Breakfast,Rajasthani,Vegetarian,Weight Gain,Festive,"breakfast rajasthani vegetarian weight_gain festive"

Dal Baati Churma,Brunch,Rajasthani,Vegetarian,Weight Gain,Festive,"brunch rajasthani vegetarian weight_gain festive"
Gatte Ki Sabzi Combo,Brunch,Rajasthani,Vegetarian,Balanced,Comfort Food,"brunch rajasthani vegetarian balanced comfort"
Ker Sangri,Brunch,Rajasthani,Vegetarian,Balanced,Healthy,"brunch rajasthani vegetarian balanced healthy"
Mirchi Vada,Brunch,Rajasthani,Vegetarian,Balanced,Spicy,"brunch rajasthani vegetarian balanced spicy"
Pyaz Kachori,Brunch,Rajasthani,Vegetarian,Weight Gain,Comfort Food,"brunch rajasthani vegetarian weight_gain comfort"
Moong Dal Pakoda,Brunch,Rajasthani,Vegetarian,Balanced,Energetic,"brunch rajasthani vegetarian balanced energetic"
Rabdi Malpua,Brunch,Rajasthani,Vegetarian,Weight Gain,Festive,"brunch rajasthani vegetarian weight_gain festive"

Dal Baati Churma,Lunch,Rajasthani,Vegetarian,Weight Gain,Festive,"lunch rajasthani vegetarian weight_gain festive"
Gatte Ki Sabzi,Lunch,Rajasthani,Vegetarian,Balanced,Comfort Food,"lunch rajasthani vegetarian balanced comfort"
Ker Sangri,Lunch,Rajasthani,Vegetarian,Balanced,Healthy,"lunch rajasthani vegetarian balanced healthy"
Bajra Roti Combo,Lunch,Rajasthani,Vegetarian,Healthy,Healthy,"lunch rajasthani vegetarian healthy healthy"
Panchmel Dal,Lunch,Rajasthani,Vegetarian,High Protein,Energetic,"lunch rajasthani vegetarian high_protein energetic"
Laal Maas,Lunch,Rajasthani,Non Vegetarian,Weight Gain,Spicy,"lunch rajasthani non_vegetarian weight_gain spicy"
Jungli Maas,Lunch,Rajasthani,Non Vegetarian,High Protein,Party,"lunch rajasthani non_vegetarian high_protein party"

Pyaz Kachori,Evening Snacks,Rajasthani,Vegetarian,Weight Gain,Comfort Food,"snacks rajasthani vegetarian weight_gain comfort"
Mirchi Vada,Evening Snacks,Rajasthani,Vegetarian,Balanced,Spicy,"snacks rajasthani vegetarian balanced spicy"
Moong Dal Pakoda,Evening Snacks,Rajasthani,Vegetarian,Balanced,Energetic,"snacks rajasthani vegetarian balanced energetic"
Bikaneri Bhujia,Evening Snacks,Rajasthani,Vegetarian,Balanced,Comfort Food,"snacks rajasthani vegetarian balanced comfort"
Rabdi,Evening Snacks,Rajasthani,Vegetarian,Weight Gain,Festive,"snacks rajasthani vegetarian weight_gain festive"
Laal Maas Roll,Evening Snacks,Rajasthani,Non Vegetarian,High Protein,Spicy,"snacks rajasthani non_vegetarian high_protein spicy"
Chicken Kachori,Evening Snacks,Rajasthani,Non Vegetarian,High Protein,Party,"snacks rajasthani non_vegetarian high_protein party"

Dal Baati Churma,Dinner,Rajasthani,Vegetarian,Weight Gain,Festive,"dinner rajasthani vegetarian weight_gain festive"
Gatte Ki Sabzi,Dinner,Rajasthani,Vegetarian,Balanced,Comfort Food,"dinner rajasthani vegetarian balanced comfort"
Ker Sangri,Dinner,Rajasthani,Vegetarian,Balanced,Healthy,"dinner rajasthani vegetarian balanced healthy"
Panchmel Dal,Dinner,Rajasthani,Vegetarian,High Protein,Energetic,"dinner rajasthani vegetarian high_protein energetic"
Bajra Roti Combo,Dinner,Rajasthani,Vegetarian,Healthy,Healthy,"dinner rajasthani vegetarian healthy healthy"
Laal Maas,Dinner,Rajasthani,Non Vegetarian,Weight Gain,Spicy,"dinner rajasthani non_vegetarian weight_gain spicy"
Jungli Maas,Dinner,Rajasthani,Non Vegetarian,High Protein,Party,"dinner rajasthani non_vegetarian high_protein party"

